Year,Month,Revenue,Cost
2025,1,7154.17,39061.0
2025,2,7411.32,10981.0
2025,3,7716.09,10981.0
2025,4,8071.31,10981.0
2025,5,8479.99,12661.0
2025,6,8945.2,12661.0
2025,7,9469.81,12661.0
2025,8,10056.21,13668.0
2025,9,10705.98,12661.0
2025,10,11419.48,12661.0
2025,11,12195.44,14048.0
2025,12,13030.56,14491.0
2026,1,14442.23,16661.0
2026,2,15399.52,18389.0
2026,3,16393.46,16661.0
2026,4,17411.32,18061.0
2026,5,18438.95,16661.0
2026,6,19461.7,16661.0
2026,7,20465.57,17501.0
2026,8,21438.3,16661.0
2026,9,22370.34,16661.0
2026,10,23255.43,19877.0
2026,11,24090.71,17661.0
2026,12,24876.4,17661.0
2027,1,25615.07,18818.0
2027,2,26310.73,17811.0
2027,3,26967.92,18818.0
2027,4,27590.8,19491.0
2027,5,28182.65,19491.0
2027,6,28745.49,20878.0
2027,7,29280.01,21321.0
2027,8,29785.78,19491.0
2027,9,30261.51,21219.0
2027,10,30705.47,19491.0
2027,11,31115.87,20891.0
2027,12,31491.27,19491.0
2028,1,31830.75,19650.0
2028,2,32134.14,20891.0
2028,3,32402.05,19491.0
2028,4,32635.81,19646.0
2028,5,32837.36,20486.0
2028,6,33009.14,19646.0
2028,7,33153.87,19646.0
2028,8,33274.45,21862.0
2028,9,33373.78,19646.0
2028,10,33454.7,19646.0
2028,11,33519.84,20653.0
2028,12,33571.66,19646.0
2029,1,33612.32,20653.0
2029,2,33643.75,19646.0
2029,3,33667.62,19805.0
2029,4,33685.36,21192.0
2029,5,33698.17,21635.0
2029,6,33707.06,19805.0
2029,7,33712.84,21533.0
2029,8,33716.21,19805.0
2029,9,33717.71,21205.0
2029,10,33717.79,19805.0
2029,11,33716.78,19964.0
2029,12,33714.98,19931.0
